week,stock,buy,sell,qty,pnl,pnl_pct
2025-07-07,aplapollo,1734.1,1708.3,8,-261.48,-1.49
2025-07-07,unitdspr,1382.6,1370.9,10,-172.07,-0.85
2025-07-07,techm,1623.9,1614.8,8,-124.62,-0.56
2025-07-14,godrejind,1096.7,1146.5,12,543.76,4.54
2025-07-14,supremeind,4112.0,4235.9,3,321.61,3.01
2025-07-14,cochinship,1928.8,1938.0,7,10.26,0.48
2025-07-14,fact,904.25,970.6,15,939.0,7.34
2025-07-21,mazdock,2951.7,2919.4,4,-176.17,-1.09
2025-07-21,reliance,1428.6,1424.6,9,-87.36,-0.28
2025-07-21,hcltech,1530.4,1529.8,9,-60.48,-0.04
2025-07-21,techm,1543.8,1546.6,9,-30.43,0.18
2025-07-28,hcltech,1466.1,1476.5,9,40.63,0.71
2025-07-28,oberoirlty,1627.2,1648.0,8,114.0,1.28
2025-07-28,bdl,1621.8,1620.3,8,-63.87,-0.09
2025-07-28,lodha,1203.2,1238.2,11,331.29,2.91
2025-07-28,trent,4994.0,5043.5,2,58.85,0.99
2025-08-04,industower,345.8,340.95,40,-248.94,-1.4
2025-08-04,sundarmfin,4459.2,4491.9,3,44.39,0.73
2025-08-04,360one,1052.0,1056.8,13,7.57,0.46
2025-08-04,unionbank,129.04,131.02,108,157.67,1.53
2025-08-04,hdbfs,741.7,737.95,18,-120.77,-0.51
2025-08-11,hext,701.3,724.1,19,379.03,3.25
2025-08-11,tataelxsi,5676.5,5671.0,2,-56.39,-0.1
2025-08-11,thermax,3273.6,3300.9,4,56.6,0.83
2025-08-11,mankind,2437.5,2466.0,5,93.47,1.17
2025-08-11,bhel,221.46,223.99,63,103.26,1.14
2025-08-18,concor,537.8,557.5,26,455.24,3.66
2025-08-18,hindpetro,387.05,390.8,36,78.99,0.97
2025-08-18,balkrisind,2436.5,2421.1,5,-125.58,-0.63
2025-08-18,oil,401.45,408.0,35,172.59,1.63
2025-08-18,petronet,273.75,280.15,51,269.9,2.34
2025-09-01,ubl,1795.8,1829.2,7,183.05,1.86
2025-09-01,mahabank,52.01,52.82,274,164.49,1.56
2025-09-01,ajantpharm,2452.0,2557.5,5,477.4,4.3
2025-09-01,bajajhldng,12544.0,13023.0,1,427.87,3.82
2025-09-01,lici,859.15,870.7,16,129.44,1.34
2025-09-08,coromandel,2185.2,2218.7,6,148.15,1.53
2025-09-08,tatacomm,1547.0,1582.7,9,264.96,2.31
2025-09-08,icicipruli,593.15,602.25,24,161.02,1.53
2025-09-08,bajajhldng,12771.0,13054.0,1,231.35,2.22
2025-09-08,gicre,366.4,367.65,39,-8.51,0.34
2025-09-15,deepakntr,1746.6,1844.9,8,728.94,5.63
2025-09-15,jkcement,6475.0,6777.5,2,551.99,4.67
2025-09-15,sundarmfin,4432.9,4633.9,3,548.6,4.53
2025-09-15,medanta,1325.6,1377.5,11,511.43,3.92
2025-09-15,ipcalab,1310.3,1311.2,11,-47.77,0.07
2025-09-22,titan,3457.5,3418.3,4,-211.81,-1.13
2025-09-22,ubl,1774.9,1796.6,8,116.46,1.22
2025-09-22,bhartihexa,1690.4,1687.6,8,-76.45,-0.17
2025-09-22,dabur,522.05,517.8,28,-177.23,-0.81
2025-09-22,trent,5010.5,4897.0,3,-399.94,-2.27
2025-09-29,trent,4730.5,4832.0,3,247.12,2.15
2025-09-29,dabur,492.85,495.05,30,6.73,0.45
2025-09-29,asianpaint,2342.6,2335.8,6,-96.94,-0.29
2025-09-29,colpal,2218.4,2224.9,6,-14.32,0.29
2025-09-29,exideind,388.55,395.05,38,187.45,1.67
2025-10-06,itchotels,215.58,214.81,69,-112.52,-0.36
2025-10-06,bajajhldng,11802.0,12093.0,1,243.21,2.47
2025-10-06,dmart,4301.6,4294.4,3,-73.18,-0.17
2025-10-06,godrejcp,1147.6,1130.7,13,-278.94,-1.47
2025-10-06,torntpower,1200.0,1225.0,12,241.8,2.08
2025-10-13,dmart,4202.6,4259.6,3,120.23,1.36
